index,num,name,blog or review,blog name,like_count_list,command_count_list,img_count,neighber_count,blog review
69,25,배곧 카츠오모이,블로그 리뷰,[시흥맛집] 시흥 배곧 일식 돈까스 맛집 카츠오모이,1,0,3,0,[]
70,26,배곧 카츠오모이,블로그 리뷰,돈까스러버가 배곧 카츠오모이 주말 웨이팅 1시간 기다려서 먹은 후기 ,3,5,13,132,[]
71,27,배곧 카츠오모이,블로그 리뷰,시흥시 배곧 돈까스맛집 카츠오모이 후기,12,4,10,257,[]
72,28,배곧 카츠오모이,블로그 리뷰,안산맛집 데이트코스 강추 수제돈카츠 돈카츠맛집 카츠오모이,78,44,7,1116,['안산']
73,29,배곧 카츠오모이,블로그 리뷰,"[배곧 맛집] 두번째 도전만에 성공한 인생돈까스집 ""카츠오모이""",40,28,16,1178,"['여러분', '첫', '품절', '못', '두', '오픈', '전', '성공한', '집', '해']"
74,30,배곧 카츠오모이,블로그 리뷰,배곧pt 이것 안 하면 몸 안 좋아집니다 (정왕동헬스),18,6,14,55,[]
75,31,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 본점,3,1,7,148,['저']
76,32,배곧 카츠오모이,블로그 리뷰,배곧 돈까스 [카츠오모이] 본점 방문,6,0,11,191,[]
77,33,배곧 카츠오모이,블로그 리뷰,[시흥시]배곧 돈까스맛집/웨이팅맛집/데이트 맛집/카츠오모이❤️,7,8,15,326,"['철', '맘껏', '다닌', '철', '그래도']"
78,34,배곧 카츠오모이,블로그 리뷰,파라다이스시티 호텔 1박2일 후기💙,6,0,32,181,"['얼마나', '오후', '만', '되', '카츠', '모이', '주말', '실패하다가', '대기', '후', '했는데', '반', '했는데도', '결국', '카츠', '로', '했댜', '돈카츠', '본연']"
79,35,배곧 카츠오모이,블로그 리뷰,오랜만에 재방문한 배곧 맛집 <카츠오모이>,1,2,15,131,['블로그']
80,36,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 소개하고싶은곳,14,1,8,2541,[]
81,37,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 : 주차/웨이팅 성공 후기,28,12,33,3668,[]
82,38,배곧 카츠오모이,블로그 리뷰,입속에서 녹아내렸던 배곧 돈까스 맛집 카츠오모이 + 포장 후기,8,10,24,149,['입']
83,39,배곧 카츠오모이,블로그 리뷰,"시흥 배곧 돈까스맛집, 줄서서 먹는 맛집 카츠오모이",54,61,43,1036,[]
84,40,배곧 카츠오모이,블로그 리뷰,시흥 배곧 줄 서서 먹는 돈가스 맛집 카츠오모이,4,2,22,294,[]
85,41,배곧 카츠오모이,블로그 리뷰,카츠오모이 배곧 본점,5,0,17,240,"['키', '크', '후', '팅', '1시간', '시간', '울', '쇼핑', '하자', '뜯어서', '아직', '갤이라', '안', '되지만', '상', '싶다기', '귀', '다임', '시간', '빠', '동안', '인', '다행히']"
86,42,배곧 카츠오모이,블로그 리뷰,"시흥 배곧/정왕동 [카츠오모이] カツおもい - 등심, 안심, 카레라이스",10,7,11,349,[]
87,43,배곧 카츠오모이,블로그 리뷰,요즘뜨는 오이도역 맛집,3,1,16,57,[]
88,44,배곧 카츠오모이,블로그 리뷰,배곧맛집]점심시간 끝나면 못먹는 카츠오모이 드디어 먹어봤다.,8,2,4,1229,"['카츠', '모이']"
89,45,배곧 카츠오모이,블로그 리뷰,실망의 배곧 카츠오모이? 성공의 배곧 면부심파스타?,2,0,14,6,"['목요일', '비', '보슬보슬', '우', '한', '일']"
90,46,배곧 카츠오모이,블로그 리뷰,[배곧 돈까스] 카츠오모이 웨이팅 없이 먹은 날 ,13,0,18,1053,"['카츠', '모', '곧']"
91,47,배곧 카츠오모이,블로그 리뷰,Page 10. 맛있는 거 좋아 좋아,8,2,12,89,"['지금', '살']"
92,48,배곧 카츠오모이,블로그 리뷰,[시흥/배곧신도시] 인생돈까스 카츠오모이,5,1,8,40,['지난']
93,49,배곧 카츠오모이,블로그 리뷰,[배곧맛집] 부지런해야 먹을 수 있는 카츠오모이,2,4,6,59,"['승', '당집']"
94,50,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이 아쉬움 한 스푼 더하기,4,2,4,434,"['2021년', '27일', '님', '내', '전', '아침', '부터', '줄', '먹었던', '카츠', '모이', '시키는', '라', '튀기고', '주시', '만', '수']"
95,51,배곧 카츠오모이,블로그 리뷰,"줄 서서 먹는 인생 돈까스, 배곧 카츠오모이! 드디어 방문ㅠㅠ",3,0,27,131,['블로그']
96,52,배곧 카츠오모이,블로그 리뷰,"♡배곧 중심상가 웨이팅 돈카츠 맛집, 카츠오모이",36,14,15,3008,[]
97,53,배곧 카츠오모이,블로그 리뷰,[시흥/배곧] 카츠오모이 본점 인생맛집,10,19,16,120,[]
98,54,배곧 카츠오모이,블로그 리뷰,시흥 돈까스맛집 카츠오모이본점,3,0,12,1569,[]
99,55,배곧 카츠오모이,블로그 리뷰,"[배곧 돈카츠 맛집] 돈까스를 새로운 방법으로 먹어볼 수 있는 곳, 카츠오모이",10,9,11,164,"['꾸꾸', '일부러', '벗어나서']"
100,56,배곧 카츠오모이,블로그 리뷰,[시흥/배곧/정왕 돈가스 맛집] 가츠오모이,6,6,11,884,['해도']
101,57,배곧 카츠오모이,블로그 리뷰,배곧 맛집 :: 카츠오모이 배곧본점,3,0,14,59,[]
102,58,배곧 카츠오모이,블로그 리뷰,시흥 배곧 돈카츠 맛집 '카츠오모이',5,2,12,105,[]
103,59,배곧 카츠오모이,블로그 리뷰,배곧 카츠오모이,1,1,6,26,['아침']
104,60,배곧 카츠오모이,블로그 리뷰,시흥배곧 카츠오모이 존맛탱 돈까스 맛집,2,2,9,182,[]
105,61,배곧 카츠오모이,블로그 리뷰,2020년 지나간게 실감나나요?,3,1,40,177,"['2020년', '2년', '쓰면', '바꾸고', '만드는', '사고', '미쳐서', '잃고', '차이', '젠', '맞는지', '호갱', '급', '숯불', '만두', '찐', '구려', '건', '양념치킨', '오래', '홈', '마싯당', '두']"
106,62,배곧 카츠오모이,블로그 리뷰,배곧 맛집 카츠오모이 1시간 웨이팅 존맛탱이라 또 간다,33,2,19,3854,"['기다리고', '기다리던', '오', '드디어', '먹어', '.', '소리']"
107,63,배곧 카츠오모이,블로그 리뷰,[맛집] 배곧신도시 맛집 :: 카츠오모이,5,2,8,126,[]
108,64,배곧 카츠오모이,블로그 리뷰,[일상] 내 2020년 돌려도~~ | 청양 낭띠전원카페,5,1,41,156,"['드디어', '시즌', '들을', '밥']"
109,65,배곧 카츠오모이,블로그 리뷰,세상에서 제일 맛있는 돈까스를 먹었다,1,2,16,148,"['드디어', '카츠', '모이', '왔']"
